Date,Location,Meeting,DocTitle,PDF,Video,Link
20220104,Austin,"January 4, 2022 Austin City Council Special Called Meeting - 10:00 AM ",Agenda - Special Called Meeting: Election,https://www.austintexas.gov/edims/document.cfm?id=373865,,
20220104,Austin,"January 4, 2022 Austin City Council Special Called Meeting - 10:00 AM ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=373865,Video,http://austintx.swagit.com/play/152376/0/
20220118,Austin,"January 18, 2022 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=374696,,
20220118,Austin,"January 18, 2022 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=374696,Video,http://austintx.swagit.com/play/152992/0/
20220119,Austin,"January 19, 2022 Audit and Finance Committee Regular Meeting ",Agenda: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=374331,,
20220119,Austin,"January 19, 2022 Audit and Finance Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=374331,Video,http://austintx.swagit.com/play/153135/0/
20220120,Austin,"January 20, 2022 Mobility Committee Regular Meeting ",Agenda: Mobility Committee (MOBC),https://www.austintexas.gov/edims/document.cfm?id=374330,,
20220120,Austin,"January 20, 2022 Mobility Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=374330,Video,http://austintx.swagit.com/play/153247/0/
20220125,Austin,"January 25, 2022 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=375242,,
20220125,Austin,"January 25, 2022 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=375242,Video,http://austintx.swagit.com/play/153408/0/
20220127,Austin,"January 27, 2022 Austin City Council Regular Meeting ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=374736,,
20220127,Austin,"January 27, 2022 Austin City Council Regular Meeting ",Agenda: Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=375411,,
20220127,Austin,"January 27, 2022 Austin City Council Regular Meeting ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=375273,,
20220127,Austin,"January 27, 2022 Austin City Council Regular Meeting ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=375509,,
20220127,Austin,"January 27, 2022 Austin City Council Regular Meeting ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=375504,,
20220127,Austin,"January 27, 2022 Austin City Council Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=375504,Video,http://austintx.swagit.com/play/153626/0/
20220201,Austin,"February 1, 2022 Austin Energy Utility Oversight Committee Meeting ",Agenda: Austin Energy Utility Oversight Committee (AEUOC),https://www.austintexas.gov/edims/document.cfm?id=375243,,
20220201,Austin,"February 1, 2022 Austin Energy Utility Oversight Committee Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=375243,Video,http://austintx.swagit.com/play/153801/0/
20220203,Austin,"February 3, 2022 Austin City Council Regular Meeting ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=375274,,
20220203,Austin,"February 3, 2022 Austin City Council Regular Meeting ",Agenda - Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=375656,,
20220203,Austin,"February 3, 2022 Austin City Council Regular Meeting ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=375604,,
20220203,Austin,"February 3, 2022 Austin City Council Regular Meeting ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=375811,,
20220203,Austin,"February 3, 2022 Austin City Council Regular Meeting ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=375794,,
20220203,Austin,"February 3, 2022 Austin City Council Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=375794,Video,http://austintx.swagit.com/play/153955/0/
20220207,Austin,"February 7, 2022 Austin City Council Community Interest Announcement - Swearing In Ceremony ",Agenda: Community Interest Announcement - Swearing In Ceremony,https://www.austintexas.gov/edims/document.cfm?id=375747,,
